,state,sat_participation,ebrw,math,sat_total,act_participation,act_score,total_spending_per_pupil
0,Alabama,0.06,595,571,1166,1.0,19.1,9696.0
1,Alaska,0.43,562,544,1106,0.33,20.8,17726.0
2,Arizona,0.29,577,572,1149,0.66,19.2,8239.0
3,Arkansas,0.05,592,576,1169,1.0,19.4,10139.0
4,California,0.6,540,536,1076,0.27,22.7,12498.0
5,Colorado,1.0,519,506,1025,0.3,23.9,10202.0
6,Connecticut,1.0,535,519,1053,0.26,25.6,20635.0
7,Delaware,1.0,505,492,998,0.17,23.8,15639.0
8,Florida,0.56,550,549,1099,0.66,19.9,9346.0
9,Georgia,0.7,542,522,1064,0.53,21.4,10810.0
10,Hawaii,0.56,480,530,1010,0.89,18.9,15242.0
11,Idaho,1.0,508,493,1001,0.36,22.3,7771.0
12,Illinois,0.99,513,506,1019,0.43,23.9,15741.0
13,Indiana,0.63,542,532,1074,0.32,22.5,10262.0
14,Iowa,0.03,634,631,1265,0.68,21.8,11732.0
15,Kansas,0.04,633,631,1265,0.71,21.6,11653.0
16,Kentucky,0.04,630,618,1248,1.0,20.2,11110.0
17,Louisiana,0.04,615,595,1210,1.0,19.2,11452.0
18,Maine,0.99,512,501,1013,0.07,24.0,14145.0
19,Maryland,0.76,545,535,1080,0.31,22.5,14762.0
20,Massachusetts,0.8,562,563,1125,0.25,25.5,17058.0
21,Michigan,1.0,511,499,1011,0.22,24.2,12345.0
22,Minnesota,0.04,643,655,1298,0.99,21.3,12975.0
23,Mississippi,0.03,630,606,1236,1.0,18.6,8935.0
24,Missouri,0.04,633,629,1262,1.0,20.0,10810.0
25,Montana,0.1,606,592,1198,1.0,20.0,11680.0
26,Nebraska,0.03,629,623,1252,1.0,20.1,12491.0
27,Nevada,0.23,574,566,1140,1.0,17.7,9417.0
28,New Hampshire,0.96,535,528,1063,0.16,25.1,16893.0
29,New Jersey,0.82,547,547,1094,0.31,23.7,20021.0
30,New Mexico,0.16,552,540,1093,0.67,19.4,9582.0
31,New York,0.79,534,534,1068,0.27,24.5,24040.0
32,North Carolina,0.52,554,543,1098,1.0,19.1,9377.0
33,North Dakota,0.02,640,643,1283,0.98,20.3,13758.0
34,Oklahoma,0.08,541,521,1062,1.0,19.3,8239.0
35,Ohio,0.18,552,547,1099,1.0,20.3,13027.0
36,Oregon,0.48,564,553,1117,0.42,21.3,11920.0
37,Pennsylvania,0.7,547,539,1086,0.2,23.5,16395.0
38,Rhode Island,0.97,513,505,1018,0.15,24.2,16121.0
39,South Carolina,0.55,547,523,1070,1.0,18.3,10856.0
40,South Dakota,0.03,622,618,1240,0.77,21.9,10073.0
41,Tennessee,0.06,624,607,1231,1.0,19.6,9544.0
42,Texas,0.66,520,512,1032,0.45,20.7,9606.0
43,Utah,0.04,480,530,1010,1.0,20.4,7628.0
44,Vermont,0.64,565,554,1120,0.24,24.1,19340.0
45,Virginia,0.68,567,550,1117,0.24,23.9,12216.0
46,Washington,0.69,543,538,1081,0.24,22.2,12995.0
47,West Virginia,0.28,513,486,999,0.65,20.3,11334.0
48,Wisconsin,0.03,641,653,1294,1.0,20.5,12285.0
49,Wyoming,0.03,633,625,1257,1.0,20.0,16224.0
