,Geographic Area,Total  Spending Per Pupil,Total Spending,Instruction Spending Per Pupil,Total Instruction Spending,Support Spending Per Pupil,Total Support Spending
0,-United States,12611.842659939368,720944995,7649.510416992575,382484159,4457.058228781923,216533516
1,Alabama,9696.181212855314,8068664,5520.600270277917,4102597,3526.601356240038,2617440
2,Alaska,17725.939249804323,2526833,9495.439219700163,1261678,7578.639592991752,1006989
3,Arizona,8238.53479614271,8861562,4440.787783800257,4126812,3350.7782058817124,3078628
4,Arkansas,10138.68059563421,5562235,5723.209690827758,2750549,3870.636866899048,1857747
5,California,12497.686028512713,92047964,7426.337272995832,46143126,4594.892310614872,28541702
6,Colorado,10201.958381580871,11004365,5697.237805083698,5080485,4128.972130723657,3672762
7,Connecticut,20634.83797473504,11373067,12343.314550743506,6392061,7682.914623975264,3776844
8,Delaware,15638.628922914117,2181352,9723.304342074805,1186054,5196.3689275439,628532
9,District of Columbia,22758.863188465926,1507836,13365.086609272897,714285,8475.199668084224,408547
10,Florida,9346.0352611661,30134706,5771.755722747943,16232076,3097.1461731539944,8710194
11,Georgia,10809.866801753513,21325684,6572.4351288883145,11403153,3640.2476104975403,6309299
12,Hawaii,15242.00246630944,3272180,9047.219319055283,1636072,5421.5398397451845,980415
13,Idaho,7770.603219529454,2538305,4620.053069166814,1305858,2768.0912789669205,782401
14,Illinois,15740.799260901553,37066131,9572.523532093517,19325077,5729.004783408126,11385171
15,Indiana,10262.21379641163,12901387,5939.406964324714,5960236,3823.001798075072,3833473
16,Iowa,11732.341506300674,7049967,7090.610530428837,3629329,4157.981830614438,2128263
17,Kansas,11652.722983526835,6660158,7139.864897505676,3550629,4007.2583372248437,1990838
18,Kentucky,11110.222295338172,8471751,6516.570065481209,4436520,3904.4030164246496,2658141
19,Louisiana,11452.052564504076,8460896,6427.066440516095,4147664,4402.453961097554,2839574
20,Maine,14144.730012557557,2866059,7925.369052602205,1499608,5634.145388586578,1009498
21,Maryland,14761.848415509514,15894153,9277.175008172093,8287152,5052.4603597512105,4513282
22,Massachusetts,17058.449938454574,18642624,10676.696087035718,10881171,5855.535500394663,5304149
23,Michigan,12345.477467499495,19538668,7179.044559508873,9515400,4730.834492067169,6270442
24,Minnesota,12974.53819453316,12798788,8421.796317722648,6922186,3958.4347705481077,3253584
25,Mississippi,8934.779279572214,4767500,5043.330137678864,2404100,3328.5475435766293,1586682
26,Missouri,10810.297411885242,11452393,6431.158484113842,5724670,3912.9614692421246,3483107
27,Montana,11680.06139154161,1920052,6881.323328785812,1008802,4294.433833560709,629564
28,Nebraska,12490.706296712031,4572168,8216.181031630442,2657039,3748.774703068422,1212320
29,Nevada,9417.428680633633,4913549,5429.41824676065,2429062,3604.8427654680827,1612767
30,New Hampshire,16892.84128356744,3194790,10585.984060579149,1830266,5900.699978965574,1009893
31,New Jersey,20020.809100852173,30363540,11804.459293493474,17359501,7582.644484668825,10267439
32,New Mexico,9582.124039586033,3787289,5372.584032292544,1708976,3711.5897287577177,1180627
33,New York,24039.921492068865,72904668,16661.396408134377,46642127,6882.6922846094485,17775716
34,North Carolina,9376.627517194458,14422013,5896.171495621851,8562789,3001.6450766141584,4359025
35,North Dakota,13757.58388301961,1820205,8199.335013675123,917358,4554.9686276612865,509619
36,Ohio,13026.914846505499,24321777,7680.487775685675,13125899,4918.908363155776,7808526
37,Oklahoma,8238.618288541462,6357194,4556.002481288949,3034762,3093.990083856151,2059926
38,Oregon,11919.750707314417,8442683,6953.4494648261225,4268559,4557.228952103104,2636799
39,Pennsylvania,16395.05980977809,32084309,10107.766513530367,18076776,5667.5224720568185,8898356
40,Rhode Island,16121.073440817458,2483007,9387.843140197014,1387388,6282.629734940843,837418
41,South Carolina,10856.155470699918,10079028,5928.180397636368,4528630,4345.134607590076,3258990
42,South Dakota,10073.414978255494,1644689,5959.892659229415,834353,3584.2799586927113,492860
43,Tennessee,9543.6206677796,10557375,5807.191902965057,5812761,3231.15332396232,3234252
44,Texas,9606.014753834585,61924578,5695.088788831778,29094147,3416.9351987750942,17455885
45,Utah,7627.660095072401,5426832,4827.998940265034,2861077,2411.3965383116124,1428996
46,Vermont,19340.089199252583,1584727,11583.10942593325,927633,7173.66576194438,525966
47,Virginia,12215.73775265462,17004937,7455.923341844538,9629933,4295.050722600541,5545937
48,Washington,12995.024731633066,17005288,7555.590325857015,8353982,4953.261780876554,5476668
49,West Virginia,11333.864676456113,3442780,6509.556830452572,1775556,4111.846503052163,1119516
50,Wisconsin,12285.102911572929,11892213,7148.582361537423,6135286,4692.221915733997,3997515
51,Wyoming,16223.61634649268,1820076,9642.049398272235,902949,6099.84302753959,571232
